id,true_type,predicted_type,stage2_status,stage3_status,analysis_mode,timestamp
A01,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.439575Z
A02,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.452516Z
A03,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.469720Z
A04,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.485622Z
A05,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.499026Z
A06,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.516285Z
A07,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.530807Z
A08,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.544694Z
A09,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.558571Z
A10,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.571928Z
B01,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.584781Z
B02,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.598830Z
B03,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.615397Z
B04,journal,book,not_executed,not_executed,True,2026-02-09T14:57:58.630216Z
B05,journal,book,not_executed,not_executed,True,2026-02-09T14:57:58.644679Z
B06,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.660014Z
B07,journal,book,not_executed,not_executed,True,2026-02-09T14:57:58.674943Z
B08,journal,journal,not_executed,not_executed,True,2026-02-09T14:57:58.689290Z
C01,book,book,not_executed,not_executed,True,2026-02-09T14:57:58.702993Z
C02,book,book,partial,skipped_analysis_mode,True,2026-02-09T14:57:58.733056Z
C03,book,book,not_executed,not_executed,True,2026-02-09T14:57:58.751161Z
C04,book,book,complete,not_executed,True,2026-02-09T14:57:58.767769Z
C05,book_chapter,journal,not_executed,not_executed,True,2026-02-09T14:57:58.785261Z
C06,book_chapter,journal,not_executed,not_executed,True,2026-02-09T14:57:58.802510Z
C07,book_chapter,journal,not_executed,not_executed,True,2026-02-09T14:57:58.819380Z
C08,conference,journal,not_executed,not_executed,True,2026-02-09T14:57:58.835033Z
D01,preprint,journal,not_executed,not_executed,True,2026-02-09T14:57:58.850904Z
D02,preprint,journal,not_executed,not_executed,True,2026-02-09T14:57:58.863888Z
D03,preprint,journal,not_executed,not_executed,True,2026-02-09T14:57:58.876897Z
D04,preprint,book,not_executed,not_executed,True,2026-02-09T14:57:58.889607Z
D05,preprint,book,not_executed,not_executed,True,2026-02-09T14:57:58.903036Z
D06,preprint,journal,not_executed,not_executed,True,2026-02-09T14:57:58.916277Z
D07,preprint,journal,not_executed,not_executed,True,2026-02-09T14:57:58.932001Z
D08,preprint,journal,not_executed,not_executed,True,2026-02-09T14:57:58.943808Z
E01,website,website,partial,skipped_analysis_mode,True,2026-02-09T14:57:58.956738Z
E02,website,website,partial,skipped_analysis_mode,True,2026-02-09T14:57:58.972071Z
E03,website,website,not_executed,not_executed,True,2026-02-09T14:57:58.983197Z
E04,website,website,complete,not_executed,True,2026-02-09T14:57:58.997648Z
E05,website,website,complete,not_executed,True,2026-02-09T14:57:59.013805Z
E06,website,website,complete,not_executed,True,2026-02-09T14:57:59.026773Z
E07,website,website,partial,skipped_analysis_mode,True,2026-02-09T14:57:59.040167Z
E08,website,website,not_executed,not_executed,True,2026-02-09T14:57:59.053798Z
