id,true_type,predicted_type,type_confidence,hardening_applied
A01,journal,journal,0.544,unknown
A02,journal,journal,0.532,unknown
A03,journal,journal,0.620,unknown
A04,journal,journal,0.381,unknown
A05,journal,journal,0.749,unknown
A06,journal,journal,0.587,unknown
A07,journal,journal,0.418,unknown
A08,journal,journal,0.370,unknown
A09,journal,journal,0.423,unknown
A10,journal,journal,0.343,unknown
B01,journal,journal,0.652,unknown
B02,journal,journal,0.534,unknown
B03,journal,journal,0.444,unknown
B04,journal,book,0.306,unknown
B05,journal,book,0.382,unknown
B06,journal,journal,0.567,unknown
B07,journal,book,0.491,unknown
B08,journal,journal,0.553,unknown
C01,book,book,0.664,unknown
C02,book,book,0.790,unknown
C03,book,book,0.744,unknown
C04,book,book,0.790,unknown
C05,book_chapter,journal,0.590,unknown
C06,book_chapter,journal,0.295,unknown
C07,book_chapter,journal,0.461,unknown
C08,conference,journal,0.534,unknown
D01,preprint,journal,0.304,unknown
D02,preprint,journal,0.439,unknown
D03,preprint,journal,0.517,unknown
D04,preprint,book,0.409,unknown
D05,preprint,book,0.450,unknown
D06,preprint,journal,0.432,unknown
D07,preprint,journal,0.608,unknown
D08,preprint,journal,0.295,unknown
E01,website,website,0.826,unknown
E02,website,website,0.825,unknown
E03,website,website,0.716,unknown
E04,website,website,0.754,unknown
E05,website,website,0.770,unknown
E06,website,website,0.755,unknown
E07,website,website,0.756,unknown
E08,website,website,0.732,unknown
