id,predicted_type,status,missing_fields
A01,journal,not_executed,N/A
A02,journal,not_executed,N/A
A03,journal,not_executed,N/A
A04,journal,not_executed,N/A
A05,journal,not_executed,N/A
A06,journal,not_executed,N/A
A07,journal,not_executed,N/A
A08,journal,not_executed,N/A
A09,journal,not_executed,N/A
A10,journal,not_executed,N/A
B01,journal,not_executed,N/A
B02,journal,not_executed,N/A
B03,journal,not_executed,N/A
B04,book,not_executed,N/A
B05,book,not_executed,N/A
B06,journal,not_executed,N/A
B07,book,not_executed,N/A
B08,journal,not_executed,N/A
C01,book,not_executed,N/A
C02,book,partial,none
C03,book,not_executed,N/A
C04,book,complete,none
C05,journal,not_executed,N/A
C06,journal,not_executed,N/A
C07,journal,not_executed,N/A
C08,journal,not_executed,N/A
D01,journal,not_executed,N/A
D02,journal,not_executed,N/A
D03,journal,not_executed,N/A
D04,book,not_executed,N/A
D05,book,not_executed,N/A
D06,journal,not_executed,N/A
D07,journal,not_executed,N/A
D08,journal,not_executed,N/A
E01,website,partial,none
E02,website,partial,none
E03,website,not_executed,N/A
E04,website,complete,none
E05,website,complete,none
E06,website,complete,none
E07,website,partial,none
E08,website,not_executed,N/A
