raw_reference,stage_1_label,stage_2_extracted_fields,violation_tags,adversarial_reference
"Deng, M. et al. (2020a) 'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp.22-32.",journal,"{'authors': ['Deng', 'M. et al.'], 'year': '2020a', 'title': ""'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Deng, M. et al. (2020a) 'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp.22-32."
"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University.",thesis,"{'authors': ['Lalani', 'B.'], 'year': '2017', 'title': 'Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'thesis'}",[],"Lalani, B. (2017) Economics and adoption of conservation agriculture in Cabo Delgado, Mozambique. PhD thesis. Reading University."
"Ferrari, S. et al. (2008a) 'Monitoring of swarming sounds in bee hives for early detection of the swarming period', Computers and Electronics in Agriculture, 64(1), pp.72-77.",journal,"{'authors': ['Ferrari', 'S. et al.'], 'year': '2008a', 'title': ""'Monitoring of swarming sounds in bee hives for early detection of the swarming period', Computers and Electronics in Agriculture, 64(1), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Ferrari, S et al (2008a) 'Monitoring of swarming sounds in bee hives for early detection of the swarming period', Computers and Electronics in Agriculture, 64(1), pp72-77"
"Hochreiter, S. and Schmidhuber, J. (1996) LSTM can solve hard long time lag problems, Colorado: MIT Press.",book,"{'authors': ['Hochreiter', 'S.', 'Schmidhuber', 'J.'], 'year': '1996', 'title': 'LSTM can solve hard long time lag problems, Colorado: MIT Press', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",[],"Hochreiter, S. and Schmidhuber, J. (1996) LSTM can solve hard long time lag problems, Colorado: MIT Press."
"O'Mahony, N. (2024) ‘How the course works’, Welcome forum, in A215: Creative writing. Available at: https://learn2.open.ac.uk/mod/forumng/discuss.php?d=4749155 (Accessed: 24 January 2025).",website,"{'authors': [""O'Mahony"", 'N.'], 'year': '2024', 'title': '‘How the course works’, Welcome forum, in A215: Creative writing', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://learn2.open.ac.uk/mod/forumng/discuss.php?d=4749155', 'accessed_date': '24 January 2025', 'reference_type': 'website'}",['url_without_doi'],"O'Mahony, N. (2024) ‘How the course works’, Welcome forum, in A215: Creative writing. Available at: https://learn2.open.ac.uk/mod/forumng/discuss.php?d=4749155 (Accessed: 24 January 2025)."
MathWorks (2016) Introduction to Machine Learning. Available at: https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf (Accessed: 20 June 2020).,ebook,"{'authors': ['MathWorks'], 'year': '2016', 'title': 'Introduction to Machine Learning', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.mathworks.com/content/dam/mathworks/tag-team/Objects/i/88174_92991v00_machine_learning_section1_ebook.pdf', 'accessed_date': '20 June 2020', 'reference_type': 'ebook'}",['url_without_doi'],MATHWORKS (2016) INTRODUCTION TO MACHINE LEARNING. AVAILABLE AT: HTTPS://WWW.MATHWORKS.COM/CONTENT/DAM/MATHWORKS/TAG-TEAM/OBJECTS/I/88174_92991V00_MACHINE_LEARNING_SECTION1_EBOOK.PDF (ACCESSED: 20 JUNE 2020).
"Deng, M. et al. (2020a) 'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp.22-32.",journal,"{'authors': ['Deng', 'M. et al.'], 'year': '2020a', 'title': ""'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Deng, M et al (2020a) 'Heart sound classification based on improved MFCC features and convolutional recurrent neural networks', Neural Networks,130 pp22-32"
"Hunt, J.H. and Richard, F. (2013) 'Intracolony vibroacoustic communication in social insects', Insectes Sociaux, 60(4), pp.403-417.",journal,"{'authors': ['Hunt', 'J.H.', 'Richard', 'F.'], 'year': '2013', 'title': ""'Intracolony vibroacoustic communication in social insects', Insectes Sociaux, 60(4), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Hunt, JH and Richard, F (2013) 'Intracolony vibroacoustic communication in social insects', Insectes Sociaux, 60(4), pp403-417"
National Geographic (2024) Honeybee. Available at: https://www.nationalgeographic.com/animals/invertebrates/facts/honeybee (Accessed: 20 August 2020).,website,"{'authors': ['National Geographic'], 'year': '2024', 'title': 'Honeybee', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.nationalgeographic.com/animals/invertebrates/facts/honeybee', 'accessed_date': '20 August 2020', 'reference_type': 'website'}",['url_without_doi'],National Geographic (2024) Honeybee. Retrieved from: https://www.nationalgeographic.com/animals/invertebrates/facts/honeybee (Accessed: 20 August 2020).
"Sridhar, S. (2025) 'Constructive peer review made practical: a guide to the EMPATHY framework', Journal of Marketing, 89(3), pp. 1-12.",journal,"{'authors': ['Sridhar', 'S.'], 'year': '2025', 'title': ""'Constructive peer review made practical: a guide to the EMPATHY framework', Journal of Marketing, 89(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Sridhar, S. (2025) 'Constructive peer review made practical: a guide to the EMPATHY framework', Journal of Marketing, 89(3), pp. 1-12."
