raw_reference,stage_1_label,stage_2_extracted_fields,violation_tags,adversarial_reference
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (n.d.) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Lee, A. et al. (2017) ‘Machine learning has arrived!’, Journal of Ophthalmology, 124(12), pp1726-1728.",journal,"{'authors': ['Lee', 'A. et al.'], 'year': '2017', 'title': '‘Machine learning has arrived!’, Journal of Ophthalmology, 124(12), pp1726-1728', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",['missing_pages'],"LEE, A. ET AL. (2017) ‘MACHINE LEARNING HAS ARRIVED!’, JOURNAL OF OPHTHALMOLOGY, 124(12), PP1726-1728."
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (n.d.) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
"Mansell, W. and Bloom, A. (2012) ‘£10,000 carrot to tempt physics experts’, The Guardian, 20 June, p. 5.",newspaper,"{'authors': ['Mansell', 'W.', 'Bloom', 'A.'], 'year': '2012', 'title': '‘£10,000 carrot to tempt physics experts’, The Guardian, 20 June, p', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'newspaper'}",[],"Mansell, W. & Bloom, A. (2012) ‘£10,000 carrot to tempt physics experts’, The Guardian, 20 June, p. 5."
"Ingle, K.V. and Proakis, G.J. (2007) Digital Signal Processing Using MATLAB. Stamford: Cengage Learning. 'Assessment Report on Pollinators, Pollination and Food Production' (2016) Dec 7. Zenodo.Available at: https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::23642fd54072123c898eda33cfe58ad3.",website,"{'authors': ['Ingle', 'K.V.', 'Proakis', 'G.J.'], 'year': '2007', 'title': 'Digital Signal Processing Using MATLAB', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::23642fd54072123c898eda33cfe58ad3.', 'accessed_date': '', 'reference_type': 'website'}","['missing_access_date', 'url_without_doi']","Ingle, K.V. and Proakis, G.J. (2007) Digital Signal Processing Using MATLAB. Stamford: Cengage Learning. 'Assessment Report on Pollinators, Pollination and Food Production' (2016) Dec 7. Zenodo.Retrieved from: https://explore.openaire.eu/search/publication?articleId=dedup_wf_001::23642fd54072123c898eda33cfe58ad3."
"Mullin, C.A. et al. (2010) 'High levels of miticides and agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp.e9754.",journal,"{'authors': ['Mullin', 'C.A. et al.'], 'year': '2010', 'title': ""'High levels of miticides and agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'journal'}",[],"Mullin, C.A. et al. (2010) 'High levels of miticides & agrochemicals in North American Apiaries: Implications for honey bee health', PLoS ONE, 5(3), pp.e9754."
"Kitton, J. (2013) Golden sunset. Available at: https://www.jameskittophotography.co.uk/photo_8692150.html (Accessed: 21 November 2021).",image,"{'authors': ['Kitton', 'J.'], 'year': '2013', 'title': 'Golden sunset', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'https://www.jameskittophotography.co.uk/photo_8692150.html', 'accessed_date': '21 November 2021', 'reference_type': 'image'}",['url_without_doi'],"KITTON, J. (2013) GOLDEN SUNSET. AVAILABLE AT: HTTPS://WWW.JAMESKITTOPHOTOGRAPHY.CO.UK/PHOTO_8692150.HTML (ACCESSED: 21 NOVEMBER 2021)."
"Young, H.D., Freedman, R.A., Sandin, T.R., and Ford, A.L. (2015) Sears and Zemansky's university physics. Addison-Wesley.",book,"{'authors': ['Young', 'H.D.', 'Freedman', 'R.A.', 'Sandin', 'T.R.', '', 'Ford', 'A.L.'], 'year': '2015', 'title': ""Sears and Zemansky's university physics"", 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': '', 'accessed_date': '', 'reference_type': 'book'}",['missing_place'],"Young, HD, Freedman, RA, Sandin, TR, and Ford, AL (2015) Sears and Zemansky's university physics Addison-Wesley"
"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020).",wesite,"{'authors': ['Colah', 'C.'], 'year': '2015', 'title': '‘Understanding LSTM Networks’, Colah’s blog, 27 August', 'container_title': '', 'publisher': '', 'place': '', 'volume': '', 'issue': '', 'pages': '', 'doi': '', 'url': 'http://colah.github.io/posts/2015-08-Understanding-LSTMs/', 'accessed_date': '23 July 2020', 'reference_type': 'wesite'}",['url_without_doi'],"Colah, C. (2015) ‘Understanding LSTM Networks’, Colah’s blog, 27 August. Available at: http://colah.github.io/posts/2015-08-Understanding-LSTMs/ (Accessed: 23 July 2020)."
